trial_id,condition_id,angle_sequence_index,angle_nominal_deg,angle_wrapped_deg,closure_measurement,speaker,repetition,expected_output_channel,expected_reference_output_channel,expected_input_channels,status,attempt_number,notes
brir_theta_000_spk_A_rep01,brir_theta_000_spk_A_rep01,0,0,0,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_000_spk_B_rep01,brir_theta_000_spk_B_rep01,0,0,0,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_000_spk_A_rep02,brir_theta_000_spk_A_rep02,0,0,0,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_000_spk_B_rep02,brir_theta_000_spk_B_rep02,0,0,0,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_010_spk_B_rep01,brir_theta_010_spk_B_rep01,1,10,10,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_010_spk_A_rep01,brir_theta_010_spk_A_rep01,1,10,10,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_010_spk_B_rep02,brir_theta_010_spk_B_rep02,1,10,10,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_010_spk_A_rep02,brir_theta_010_spk_A_rep02,1,10,10,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_020_spk_A_rep01,brir_theta_020_spk_A_rep01,2,20,20,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_020_spk_B_rep01,brir_theta_020_spk_B_rep01,2,20,20,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_020_spk_A_rep02,brir_theta_020_spk_A_rep02,2,20,20,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_020_spk_B_rep02,brir_theta_020_spk_B_rep02,2,20,20,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_030_spk_B_rep01,brir_theta_030_spk_B_rep01,3,30,30,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_030_spk_A_rep01,brir_theta_030_spk_A_rep01,3,30,30,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_030_spk_B_rep02,brir_theta_030_spk_B_rep02,3,30,30,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_030_spk_A_rep02,brir_theta_030_spk_A_rep02,3,30,30,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_040_spk_A_rep01,brir_theta_040_spk_A_rep01,4,40,40,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_040_spk_B_rep01,brir_theta_040_spk_B_rep01,4,40,40,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
