frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,141978.09007854102,141978.180930458,141978.27691187433,141978181438000
512,512,0,141978.1007452077,141978.180930458,141978.287578541,141978181507541
1024,512,0,141978.11141187436,141978.180930458,141978.29824520767,141978181571458
1536,512,0,141978.12207854103,141978.180930458,141978.30891187434,141978181612083
2048,512,0,141978.1327452077,141978.180930458,141978.319578541,141978181664375
2560,512,0,141978.14341187436,141978.180930458,141978.33024520768,141978181708333
3072,512,0,141978.15407854103,141978.180930458,141978.34091187434,141978181770166
3584,512,0,141978.1647452077,141978.180930458,141978.351578541,141978181808541
4096,512,0,141978.175411875,141978.266056333,141978.36224520832,141978266375500
4608,512,0,141978.18607854168,141978.266056333,141978.372911875,141978266428875
5120,512,0,141978.19674520835,141978.266056333,141978.38357854166,141978266478708
5632,512,0,141978.20741187502,141978.266056333,141978.39424520833,141978266520875
6144,512,0,141978.2180785417,141978.266056333,141978.404911875,141978266564916
6656,512,0,141978.22874520835,141978.266056333,141978.41557854167,141978266608875
7168,512,0,141978.23941187502,141978.266056333,141978.42624520833,141978266653333
7680,512,0,141978.2500785417,141978.266056333,141978.436911875,141978266691750
8192,512,0,141978.260745208,141978.351297708,141978.44757854132,141978351501041
8704,512,0,141978.27141187468,141978.351297708,141978.458245208,141978351550541
9216,512,0,141978.28207854135,141978.351297708,141978.46891187466,141978351597916
9728,512,0,141978.29274520802,141978.351297708,141978.47957854133,141978351638041
10240,512,0,141978.3034118747,141978.351297708,141978.490245208,141978351684583
10752,512,0,141978.31407854136,141978.351297708,141978.50091187467,141978351726625
11264,512,0,141978.32474520802,141978.351297708,141978.51157854134,141978351766416
11776,512,0,141978.3354118747,141978.351297708,141978.522245208,141978351803625
12288,512,0,141978.346078541,141978.436656083,141978.53291187432,141978436873625
12800,512,0,141978.35674520768,141978.436656083,141978.543578541,141978436923791
13312,512,0,141978.36741187435,141978.436656083,141978.55424520766,141978436978083
13824,512,0,141978.37807854102,141978.436656083,141978.56491187433,141978437018000
14336,512,0,141978.3887452077,141978.436656083,141978.575578541,141978437062041
14848,512,0,141978.39941187436,141978.436656083,141978.58624520767,141978437104416
15360,512,0,141978.41007854103,141978.436656083,141978.59691187434,141978437148000
15872,512,0,141978.4207452077,141978.436656083,141978.607578541,141978437185541
16384,512,0,141978.43141187503,141978.522043583,141978.61824520834,141978522300916
16896,512,0,141978.4420785417,141978.522043583,141978.628911875,141978522350583
17408,512,0,141978.45274520837,141978.522043583,141978.63957854168,141978522398416
17920,512,0,141978.46341187504,141978.522043583,141978.65024520835,141978522436708
18432,512,0,141978.4740785417,141978.522043583,141978.66091187502,141978522479416
18944,512,0,141978.48474520838,141978.522043583,141978.6715785417,141978522521583
19456,512,0,141978.49541187505,141978.522043583,141978.68224520836,141978522565083
19968,512,0,141978.50607854172,141978.522043583,141978.69291187503,141978522639416
20480,512,0,141978.51674658302,141978.60736191602,141978.70357991633,141978607677083
20992,512,0,141978.52741324969,141978.60736191602,141978.714246583,141978607727625
