frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,135781.87034779103,135781.96621329102,135782.05718112434,135781966759875
512,512,0,135781.8810144577,135781.96621329102,135782.067847791,135781966839125
1024,512,0,135781.89168112437,135781.96621329102,135782.07851445768,135781966898291
1536,512,0,135781.90234779104,135781.96621329102,135782.08918112435,135781966945833
2048,512,0,135781.9130144577,135781.96621329102,135782.09984779102,135781966996000
2560,512,0,135781.92368112438,135781.96621329102,135782.1105144577,135781967048291
3072,512,0,135781.93434779104,135781.96621329102,135782.12118112436,135781967096208
3584,512,0,135781.9450144577,135781.96621329102,135782.13184779102,135781967141416
4096,512,0,135781.95568112502,135782.04626208302,135782.14251445833,135782046505291
4608,512,0,135781.9663477917,135782.04626208302,135782.153181125,135782046556166
5120,512,0,135781.97701445836,135782.04626208302,135782.16384779167,135782046601833
5632,512,0,135781.98768112503,135782.04626208302,135782.17451445834,135782046643375
6144,512,0,135781.9983477917,135782.04626208302,135782.185181125,135782046683541
6656,512,0,135782.00901445837,135782.04626208302,135782.19584779168,135782046726250
7168,512,0,135782.01968112504,135782.04626208302,135782.20651445835,135782046765958
7680,512,0,135782.0303477917,135782.04626208302,135782.21718112502,135782046803125
8192,512,0,135782.04101445802,135782.1318295,135782.22784779134,135782132216833
8704,512,0,135782.0516811247,135782.1318295,135782.238514458,135782132296666
9216,512,0,135782.06234779136,135782.1318295,135782.24918112467,135782132368416
9728,512,0,135782.07301445803,135782.1318295,135782.25984779134,135782132431458
10240,512,0,135782.0836811247,135782.1318295,135782.270514458,135782132494250
10752,512,0,135782.09434779137,135782.1318295,135782.28118112468,135782132561208
11264,512,0,135782.10501445804,135782.1318295,135782.29184779135,135782132628333
11776,512,0,135782.1156811247,135782.1318295,135782.30251445802,135782132687333
12288,512,0,135782.12634779103,135782.217179916,135782.31318112434,135782217572250
12800,512,0,135782.1370144577,135782.217179916,135782.323847791,135782217672625
13312,512,0,135782.14768112436,135782.217179916,135782.33451445767,135782217774041
13824,512,0,135782.15834779103,135782.217179916,135782.34518112434,135782217857250
14336,512,0,135782.1690144577,135782.217179916,135782.355847791,135782217943083
14848,512,0,135782.17968112437,135782.217179916,135782.36651445768,135782218035500
15360,512,0,135782.19034779104,135782.217179916,135782.37718112435,135782218121041
15872,512,0,135782.2010144577,135782.217179916,135782.38784779102,135782218200250
