frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,136006.45477300003,136006.54548525,136006.64160633335,136006546019541
512,512,0,136006.4654396667,136006.54548525,136006.652273,136006546121333
1024,512,0,136006.47610633337,136006.54548525,136006.66293966668,136006546197208
1536,512,0,136006.48677300004,136006.54548525,136006.67360633335,136006546258250
2048,512,0,136006.4974396667,136006.54548525,136006.68427300002,136006546320750
2560,512,0,136006.50810633338,136006.54548525,136006.6949396667,136006546388541
3072,512,0,136006.51877300005,136006.54548525,136006.70560633336,136006546449875
3584,512,0,136006.52943966672,136006.54548525,136006.71627300003,136006546507041
4096,512,0,136006.54010633304,136006.63067008302,136006.72693966635,136006630862083
4608,512,0,136006.5507729997,136006.63067008302,136006.73760633302,136006630908750
5120,512,0,136006.56143966637,136006.63067008302,136006.74827299968,136006630952375
5632,512,0,136006.57210633304,136006.63067008302,136006.75893966635,136006630992541
6144,512,0,136006.5827729997,136006.63067008302,136006.76960633302,136006631031125
6656,512,0,136006.59343966638,136006.63067008302,136006.7802729997,136006631073125
7168,512,0,136006.60410633305,136006.63067008302,136006.79093966636,136006631112583
7680,512,0,136006.61477299972,136006.63067008302,136006.80160633303,136006631149958
8192,512,0,136006.625439666,136006.71598791602,136006.81227299932,136006716176625
8704,512,0,136006.63610633268,136006.71598791602,136006.822939666,136006716224000
9216,512,0,136006.64677299935,136006.71598791602,136006.83360633266,136006716271291
9728,512,0,136006.657439666,136006.71598791602,136006.84427299933,136006716311458
10240,512,0,136006.66810633268,136006.71598791602,136006.854939666,136006716350500
10752,512,0,136006.67877299935,136006.71598791602,136006.86560633266,136006716392541
11264,512,0,136006.68943966602,136006.71598791602,136006.87627299933,136006716432041
11776,512,0,136006.7001063327,136006.71598791602,136006.886939666,136006716469125
12288,512,0,136006.71077300003,136006.801302625,136006.89760633334,136006801548166
12800,512,0,136006.7214396667,136006.801302625,136006.908273,136006801597333
13312,512,0,136006.73210633337,136006.801302625,136006.91893966668,136006801656708
13824,512,0,136006.74277300003,136006.801302625,136006.92960633335,136006801735541
14336,512,0,136006.7534396667,136006.801302625,136006.94027300001,136006801777583
14848,512,0,136006.76410633337,136006.801302625,136006.95093966668,136006801824083
15360,512,0,136006.77477300004,136006.801302625,136006.96160633335,136006801863750
15872,512,0,136006.7854396667,136006.801302625,136006.97227300002,136006801900916
16384,512,0,136006.79610633303,136006.886643166,136006.98293966634,136006886912541
16896,512,0,136006.8067729997,136006.886643166,136006.993606333,136006886961666
17408,512,0,136006.81743966637,136006.886643166,136007.00427299968,136006887007833
17920,512,0,136006.82810633304,136006.886643166,136007.01493966635,136006887062500
18432,512,0,136006.8387729997,136006.886643166,136007.02560633302,136006887103375
18944,512,0,136006.84943966637,136006.886643166,136007.03627299969,136006887146708
19456,512,0,136006.86010633304,136006.886643166,136007.04693966635,136006887186750
19968,512,0,136006.8707729997,136006.886643166,136007.05760633302,136006887223708
20480,512,0,136006.88144225,136006.97214891601,136007.06827558333,136006972462125
20992,512,0,136006.89210891668,136006.97214891601,136007.07894225,136006972557666
21504,512,0,136006.90277558335,136006.97214891601,136007.08960891666,136006972657791
22016,512,0,136006.91344225002,136006.97214891601,136007.10027558333,136006972762500
22528,512,0,136006.9241089167,136006.97214891601,136007.11094225,136006972845833
23040,512,0,136006.93477558336,136006.97214891601,136007.12160891667,136006972939916
23552,512,0,136006.94544225003,136006.97214891601,136007.13227558334,136006973026166
24064,512,0,136006.9561089167,136006.97214891601,136007.14294225,136006973104125
24576,512,0,136006.96677591602,136007.05749495802,136007.15360924933,136007057888166
25088,512,0,136006.9774425827,136007.05749495802,136007.164275916,136007057986291
25600,512,0,136006.98810924936,136007.05749495802,136007.17494258267,136007058087041
26112,512,0,136006.99877591603,136007.05749495802,136007.18560924934,136007058166958
26624,512,0,136007.0094425827,136007.05749495802,136007.196275916,136007058251750
27136,512,0,136007.02010924937,136007.05749495802,136007.20694258268,136007058343041
27648,512,0,136007.03077591604,136007.05749495802,136007.21760924935,136007058427833
28160,512,0,136007.0414425827,136007.05749495802,136007.22827591602,136007058505208
28672,512,0,136007.05210954102,136007.14293725,136007.23894287433,136007143283958
29184,512,0,136007.0627762077,136007.14293725,136007.249609541,136007143390291
29696,512,0,136007.07344287436,136007.14293725,136007.26027620767,136007143490541
30208,512,0,136007.08410954103,136007.14293725,136007.27094287434,136007143570750
30720,512,0,136007.0947762077,136007.14293725,136007.281609541,136007143653791
31232,512,0,136007.10544287437,136007.14293725,136007.29227620768,136007143767500
31744,512,0,136007.11610954104,136007.14293725,136007.30294287435,136007143849500
32256,512,0,136007.1267762077,136007.14293725,136007.31360954102,136007143938791
32768,512,0,136007.13744391603,136007.228206375,136007.32427724934,136007228594666
33280,512,0,136007.1481105827,136007.228206375,136007.334943916,136007228694291
33792,512,0,136007.15877724937,136007.228206375,136007.34561058268,136007228789666
34304,512,0,136007.16944391603,136007.228206375,136007.35627724935,136007228870375
34816,512,0,136007.1801105827,136007.228206375,136007.36694391601,136007228955000
35328,512,0,136007.19077724937,136007.228206375,136007.37761058268,136007229045208
35840,512,0,136007.20144391604,136007.228206375,136007.38827724935,136007229128333
36352,512,0,136007.2121105827,136007.228206375,136007.39894391602,136007229206541
36864,512,0,136007.22277766603,136007.31350720802,136007.40961099934,136007313906458
37376,512,0,136007.2334443327,136007.31350720802,136007.420277666,136007314005166
37888,512,0,136007.24411099937,136007.31350720802,136007.43094433268,136007314118208
38400,512,0,136007.25477766604,136007.31350720802,136007.44161099935,136007314200125
38912,512,0,136007.2654443327,136007.31350720802,136007.45227766602,136007314282041
39424,512,0,136007.27611099937,136007.31350720802,136007.46294433268,136007314370791
39936,512,0,136007.28677766604,136007.31350720802,136007.47361099935,136007314453833
40448,512,0,136007.2974443327,136007.31350720802,136007.48427766602,136007314531125
40960,512,0,136007.30811137502,136007.399011208,136007.49494470833,136007399485333
41472,512,0,136007.3187780417,136007.399011208,136007.505611375,136007399596625
41984,512,0,136007.32944470836,136007.399011208,136007.51627804167,136007399730291
42496,512,0,136007.34011137503,136007.399011208,136007.52694470834,136007399812166
43008,512,0,136007.3507780417,136007.399011208,136007.537611375,136007399917958
