frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,127608.60673204101,127608.69807762501,127608.79356537435,127608698644791
512,512,0,127608.61739870768,127608.69807762501,127608.80423204102,127608698771208
1024,512,0,127608.62806537435,127608.69807762501,127608.81489870769,127608698889750
1536,512,0,127608.63873204101,127608.69807762501,127608.82556537435,127608698962291
2048,512,0,127608.64939870768,127608.69807762501,127608.83623204102,127608699045291
2560,512,0,127608.66006537435,127608.69807762501,127608.84689870769,127608699125958
3072,512,0,127608.67073204102,127608.69807762501,127608.85756537436,127608699214666
3584,512,0,127608.68139870769,127608.69807762501,127608.86823204103,127608699303291
4096,512,0,127608.69206537501,127608.782881291,127608.87889870835,127608783191750
4608,512,0,127608.70273204168,127608.782881291,127608.88956537502,127608783289416
5120,512,0,127608.71339870835,127608.782881291,127608.90023204169,127608783410541
5632,512,0,127608.72406537502,127608.782881291,127608.91089870836,127608783488916
6144,512,0,127608.73473204169,127608.782881291,127608.92156537503,127608783599916
6656,512,0,127608.74539870836,127608.782881291,127608.9322320417,127608783671541
7168,512,0,127608.75606537503,127608.782881291,127608.94289870837,127608783755416
7680,512,0,127608.7667320417,127608.782881291,127608.95356537504,127608783844291
8192,512,0,127608.777398708,127608.86802758301,127608.96423204134,127608868253333
8704,512,0,127608.78806537467,127608.86802758301,127608.97489870801,127608868304666
9216,512,0,127608.79873204134,127608.86802758301,127608.98556537468,127608868378166
9728,512,0,127608.809398708,127608.86802758301,127608.99623204135,127608868434500
10240,512,0,127608.82006537468,127608.86802758301,127609.00689870802,127608868499666
10752,512,0,127608.83073204134,127608.86802758301,127609.01756537468,127608868540416
11264,512,0,127608.84139870801,127608.86802758301,127609.02823204135,127608868597458
11776,512,0,127608.85206537468,127608.86802758301,127609.03889870802,127608868637333
12288,512,0,127608.862732041,127608.953399125,127609.04956537434,127608953636916
12800,512,0,127608.87339870767,127608.953399125,127609.06023204101,127608953701791
13312,512,0,127608.88406537434,127608.953399125,127609.07089870768,127608953836875
13824,512,0,127608.89473204101,127608.953399125,127609.08156537435,127608953892041
14336,512,0,127608.90539870768,127608.953399125,127609.09223204102,127608953959416
14848,512,0,127608.91606537435,127608.953399125,127609.10289870769,127608954009500
15360,512,0,127608.92673204101,127608.953399125,127609.11356537435,127608954070000
15872,512,0,127608.93739870768,127608.953399125,127609.12423204102,127608954125791
16384,512,0,127608.948065375,127609.03876562501,127609.13489870835,127609039082708
16896,512,0,127608.95873204168,127609.03876562501,127609.14556537502,127609039170083
17408,512,0,127608.96939870834,127609.03876562501,127609.15623204169,127609039257041
17920,512,0,127608.98006537501,127609.03876562501,127609.16689870835,127609039327875
18432,512,0,127608.99073204168,127609.03876562501,127609.17756537502,127609039409708
18944,512,0,127609.00139870835,127609.03876562501,127609.18823204169,127609039477958
