frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,137913.021798583,137913.113018041,137913.20863191632,137913113564833
512,512,0,137913.03246524968,137913.113018041,137913.219298583,137913113637458
1024,512,0,137913.04313191635,137913.113018041,137913.22996524966,137913113687875
1536,512,0,137913.05379858302,137913.113018041,137913.24063191633,137913113726875
2048,512,0,137913.06446524968,137913.113018041,137913.251298583,137913113773041
2560,512,0,137913.07513191635,137913.113018041,137913.26196524967,137913113815791
3072,512,0,137913.08579858302,137913.113018041,137913.27263191633,137913113861166
3584,512,0,137913.0964652497,137913.113018041,137913.283298583,137913113898916
4096,512,0,137913.107131916,137913.197961666,137913.29396524932,137913198331083
4608,512,0,137913.11779858268,137913.197961666,137913.304631916,137913198415416
5120,512,0,137913.12846524935,137913.197961666,137913.31529858266,137913198464166
5632,512,0,137913.13913191602,137913.197961666,137913.32596524933,137913198506708
6144,512,0,137913.1497985827,137913.197961666,137913.336631916,137913198552875
6656,512,0,137913.16046524936,137913.197961666,137913.34729858267,137913198595666
7168,512,0,137913.17113191602,137913.197961666,137913.35796524934,137913198639916
7680,512,0,137913.1817985827,137913.197961666,137913.368631916,137913198677916
8192,512,0,137913.19246525003,137913.28327925,137913.37929858334,137913283689541
8704,512,0,137913.2031319167,137913.28327925,137913.38996525,137913283768333
9216,512,0,137913.21379858337,137913.28327925,137913.40063191668,137913283837333
9728,512,0,137913.22446525004,137913.28327925,137913.41129858335,137913283911125
10240,512,0,137913.2351319167,137913.28327925,137913.42196525002,137913283977250
10752,512,0,137913.24579858338,137913.28327925,137913.4326319167,137913284069875
11264,512,0,137913.25646525004,137913.28327925,137913.44329858336,137913284149916
11776,512,0,137913.2671319167,137913.28327925,137913.45396525002,137913284209208
12288,512,0,137913.27779858303,137913.368562041,137913.46463191634,137913369004625
12800,512,0,137913.2884652497,137913.368562041,137913.475298583,137913369085125
13312,512,0,137913.29913191637,137913.368562041,137913.48596524968,137913369176625
13824,512,0,137913.30979858304,137913.368562041,137913.49663191635,137913369239125
14336,512,0,137913.3204652497,137913.368562041,137913.50729858302,137913369312000
14848,512,0,137913.33113191638,137913.368562041,137913.5179652497,137913369382833
15360,512,0,137913.34179858305,137913.368562041,137913.52863191636,137913369451291
15872,512,0,137913.3524652497,137913.368562041,137913.53929858303,137913369509375
16384,512,0,137913.36313191603,137913.453954958,137913.54996524935,137913454360541
16896,512,0,137913.3737985827,137913.453954958,137913.560631916,137913454459000
17408,512,0,137913.38446524937,137913.453954958,137913.57129858268,137913454563250
17920,512,0,137913.39513191604,137913.453954958,137913.58196524935,137913454644583
18432,512,0,137913.4057985827,137913.453954958,137913.59263191602,137913454740708
18944,512,0,137913.41646524938,137913.453954958,137913.6032985827,137913454829708
19456,512,0,137913.42713191605,137913.453954958,137913.61396524936,137913454911833
19968,512,0,137913.43779858272,137913.453954958,137913.62463191603,137913455021458
20480,512,0,137913.44846129103,137913.53929354102,137913.63529462434,137913539627666
20992,512,0,137913.4591279577,137913.53929354102,137913.645961291,137913539727333
21504,512,0,137913.46979462437,137913.53929354102,137913.65662795768,137913539834875
22016,512,0,137913.48046129104,137913.53929354102,137913.66729462435,137913539917583
22528,512,0,137913.4911279577,137913.53929354102,137913.67796129102,137913540019000
23040,512,0,137913.50179462438,137913.53929354102,137913.6886279577,137913540108916
23552,512,0,137913.51246129104,137913.53929354102,137913.69929462436,137913540226333
24064,512,0,137913.5231279577,137913.53929354102,137913.70996129102,137913540307041
24576,512,0,137913.53379412502,137913.624591541,137913.72062745833,137913625067125
25088,512,0,137913.5444607917,137913.624591541,137913.731294125,137913625173083
25600,512,0,137913.55512745836,137913.624591541,137913.74196079167,137913625269500
26112,512,0,137913.56579412502,137913.624591541,137913.75262745834,137913625354666
26624,512,0,137913.5764607917,137913.624591541,137913.763294125,137913625436291
27136,512,0,137913.58712745836,137913.624591541,137913.77396079167,137913625525708
27648,512,0,137913.59779412503,137913.624591541,137913.78462745834,137913625621916
28160,512,0,137913.6084607917,137913.624591541,137913.795294125,137913625701958
28672,512,0,137913.61912695802,137913.709947125,137913.80596029133,137913710360083
29184,512,0,137913.62979362468,137913.709947125,137913.816626958,137913710469166
29696,512,0,137913.64046029135,137913.709947125,137913.82729362466,137913710564375
30208,512,0,137913.65112695802,137913.709947125,137913.83796029133,137913710646333
30720,512,0,137913.6617936247,137913.709947125,137913.848626958,137913710741208
31232,512,0,137913.67246029136,137913.709947125,137913.85929362467,137913710832500
31744,512,0,137913.68312695803,137913.709947125,137913.86996029134,137913710927166
32256,512,0,137913.6937936247,137913.709947125,137913.880626958,137913711037791
32768,512,0,137913.70446541603,137913.795293166,137913.89129874934,137913795659583
33280,512,0,137913.7151320827,137913.795293166,137913.901965416,137913795760541
33792,512,0,137913.72579874936,137913.795293166,137913.91263208268,137913795865041
34304,512,0,137913.73646541603,137913.795293166,137913.92329874935,137913795946500
34816,512,0,137913.7471320827,137913.795293166,137913.933965416,137913796037916
35328,512,0,137913.75779874937,137913.795293166,137913.94463208268,137913796126916
35840,512,0,137913.76846541604,137913.795293166,137913.95529874935,137913796223416
36352,512,0,137913.7791320827,137913.795293166,137913.96596541602,137913796303291
36864,512,0,137913.78979895802,137913.880663833,137913.97663229133,137913881177583
37376,512,0,137913.8004656247,137913.880663833,137913.987298958,137913881283125
37888,512,0,137913.81113229136,137913.880663833,137913.99796562467,137913881391958
38400,512,0,137913.82179895803,137913.880663833,137914.00863229134,137913881473500
38912,512,0,137913.8324656247,137913.880663833,137914.019298958,137913881568375
39424,512,0,137913.84313229137,137913.880663833,137914.02996562468,137913881657458
39936,512,0,137913.85379895804,137913.880663833,137914.04063229135,137913881762916
40448,512,0,137913.8644656247,137913.880663833,137914.05129895802,137913881843208
40960,512,0,137913.87513250002,137913.965938,137914.06196583333,137913966300291
