frame_start,frames,status_flags,input_adc_time,current_time,output_dac_time,perf_counter_ns
0,512,0,140186.70355091602,140186.794189208,140186.89038424933,140186794489958
512,512,0,140186.7142175827,140186.794189208,140186.901050916,140186794558958
1024,512,0,140186.72488424936,140186.794189208,140186.91171758267,140186794611458
1536,512,0,140186.73555091603,140186.794189208,140186.92238424934,140186794651333
2048,512,0,140186.7462175827,140186.794189208,140186.933050916,140186794692083
2560,512,0,140186.75688424936,140186.794189208,140186.94371758268,140186794734083
3072,512,0,140186.76755091603,140186.794189208,140186.95438424934,140186794776958
3584,512,0,140186.7782175827,140186.794189208,140186.965050916,140186794813958
4096,512,0,140186.78888425,140186.879472125,140186.97571758332,140186879658833
4608,512,0,140186.79955091668,140186.879472125,140186.98638425,140186879706583
5120,512,0,140186.81021758335,140186.879472125,140186.99705091666,140186879765625
5632,512,0,140186.82088425002,140186.879472125,140187.00771758333,140186879807708
6144,512,0,140186.8315509167,140186.879472125,140187.01838425,140186879847458
6656,512,0,140186.84221758335,140186.879472125,140187.02905091667,140186879890416
7168,512,0,140186.85288425002,140186.879472125,140187.03971758334,140186879930125
7680,512,0,140186.8635509167,140186.879472125,140187.05038425,140186879967333
8192,512,0,140186.874217583,140186.964758166,140187.06105091632,140186964960583
8704,512,0,140186.88488424968,140186.964758166,140187.071717583,140186965012791
9216,512,0,140186.89555091635,140186.964758166,140187.08238424966,140186965058166
9728,512,0,140186.90621758302,140186.964758166,140187.09305091633,140186965097958
10240,512,0,140186.9168842497,140186.964758166,140187.103717583,140186965136583
10752,512,0,140186.92755091636,140186.964758166,140187.11438424967,140186965178041
11264,512,0,140186.93821758303,140186.964758166,140187.12505091634,140186965217625
11776,512,0,140186.9488842497,140186.964758166,140187.135717583,140186965254250
12288,512,0,140186.959550916,140187.050051375,140187.14638424932,140187050253250
12800,512,0,140186.97021758268,140187.050051375,140187.157050916,140187050301583
13312,512,0,140186.98088424935,140187.050051375,140187.16771758266,140187050355208
13824,512,0,140186.99155091602,140187.050051375,140187.17838424933,140187050393750
14336,512,0,140187.0022175827,140187.050051375,140187.189050916,140187050460666
14848,512,0,140187.01288424936,140187.050051375,140187.19971758267,140187050503166
15360,512,0,140187.02355091603,140187.050051375,140187.21038424934,140187050543125
15872,512,0,140187.0342175827,140187.050051375,140187.221050916,140187050579875
16384,512,0,140187.04488425003,140187.135443375,140187.23171758335,140187135679666
16896,512,0,140187.0555509167,140187.135443375,140187.24238425,140187135730333
17408,512,0,140187.06621758337,140187.135443375,140187.25305091668,140187135780208
17920,512,0,140187.07688425004,140187.135443375,140187.26371758335,140187135819833
18432,512,0,140187.0875509167,140187.135443375,140187.27438425002,140187135862458
18944,512,0,140187.09821758338,140187.135443375,140187.2850509167,140187135904666
19456,512,0,140187.10888425005,140187.135443375,140187.29571758336,140187135945375
19968,512,0,140187.11955091672,140187.135443375,140187.30638425003,140187135982916
20480,512,0,140187.13022016603,140187.22093829102,140187.31705349934,140187221186041
20992,512,0,140187.1408868327,140187.22093829102,140187.327720166,140187221237666
21504,512,0,140187.15155349937,140187.22093829102,140187.33838683268,140187221282958
22016,512,0,140187.16222016604,140187.22093829102,140187.34905349935,140187221322041
22528,512,0,140187.1728868327,140187.22093829102,140187.35972016602,140187221359333
23040,512,0,140187.18355349937,140187.22093829102,140187.37038683268,140187221403833
23552,512,0,140187.19422016604,140187.22093829102,140187.38105349935,140187221470166
24064,512,0,140187.2048868327,140187.22093829102,140187.39172016602,140187221507125
24576,512,0,140187.21555383303,140187.306197,140187.40238716634,140187306521833
25088,512,0,140187.2262204997,140187.306197,140187.413053833,140187306574458
25600,512,0,140187.23688716636,140187.306197,140187.42372049968,140187306621416
26112,512,0,140187.24755383303,140187.306197,140187.43438716634,140187306659875
26624,512,0,140187.2582204997,140187.306197,140187.445053833,140187306699666
27136,512,0,140187.26888716637,140187.306197,140187.45572049968,140187306742166
27648,512,0,140187.27955383304,140187.306197,140187.46638716635,140187306782750
28160,512,0,140187.2902204997,140187.306197,140187.47705383302,140187306820333
28672,512,0,140187.30088750002,140187.391496625,140187.48772083333,140187391768208
29184,512,0,140187.3115541667,140187.391496625,140187.4983875,140187391826583
29696,512,0,140187.32222083336,140187.391496625,140187.50905416667,140187391874125
30208,512,0,140187.33288750003,140187.391496625,140187.51972083334,140187391913958
30720,512,0,140187.3435541667,140187.391496625,140187.5303875,140187391953833
31232,512,0,140187.35422083337,140187.391496625,140187.54105416668,140187391996083
31744,512,0,140187.36488750004,140187.391496625,140187.55172083335,140187392037750
32256,512,0,140187.3755541667,140187.391496625,140187.56238750002,140187392074708
32768,512,0,140187.38622316602,140187.47677087502,140187.57305649933,140187477034416
33280,512,0,140187.3968898327,140187.47677087502,140187.583723166,140187477085625
33792,512,0,140187.40755649935,140187.47677087502,140187.59438983267,140187477140125
34304,512,0,140187.41822316602,140187.47677087502,140187.60505649933,140187477178875
34816,512,0,140187.4288898327,140187.47677087502,140187.615723166,140187477219250
35328,512,0,140187.43955649936,140187.47677087502,140187.62638983267,140187477261833
