trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,tir_retention_threshold,si_sdr_loss_metric,max_si_sdr_loss_db,minimum_separator_sdr_db,minimum_separator_sdr_label,acceptable,tir_retention_fraction_mean,tir_loss_vs_ideal_db_mean,si_sdr_loss_vs_ideal_db_mean,component_si_sdr_loss_vs_ideal_db_mean
120_deg_s,120.0,10.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
120_deg_s,120.0,10.0,0.0,20.0,2.4,0.9,component,1.0,inf,inf,True,1.0068336880707587,0.05330169598694862,-31.353039513453012,0.05420215594265233
120_deg_s,120.0,10.0,0.0,40.0,4.8,0.9,component,1.0,inf,inf,True,1.0098991568507807,0.06833396071047913,-31.033525825363068,0.06933007733328125
120_deg_s,120.0,10.0,0.0,80.0,9.6,0.9,component,1.0,inf,inf,True,1.006403714002043,0.0063043998430854665,-35.80010749534835,0.006701728922934674
120_deg_s,120.0,10.0,0.0,120.0,14.4,0.9,component,1.0,inf,inf,True,1.0014928912803733,-0.06602217019917304,-38.01329166993333,-0.06574107664577898
120_deg_s,120.0,10.0,0.0,160.0,19.2,0.9,component,1.0,inf,inf,True,0.9969346416523605,-0.12640291075494653,-38.7518712871545,-0.12207548549463233
120_deg_s,120.0,10.0,0.0,200.0,24.0,0.9,component,1.0,inf,inf,True,0.9938145877276053,-0.16098403099301395,-38.223178455174654,-0.15768160364755912
120_deg_s,120.0,20.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
120_deg_s,120.0,20.0,0.0,20.0,2.4,0.9,component,1.0,inf,inf,True,1.0054504318729898,0.04681769694243001,-32.19939210615472,0.04789004034914369
120_deg_s,120.0,20.0,0.0,40.0,4.8,0.9,component,1.0,inf,inf,True,1.00680376762905,0.05373346375184813,-31.58862787891174,0.05519284878811581
120_deg_s,120.0,20.0,0.0,80.0,9.6,0.9,component,1.0,inf,inf,True,0.9978222822919943,-0.0384415577745305,-36.516077074030065,-0.037421763105699855
120_deg_s,120.0,20.0,0.0,120.0,14.4,0.9,component,1.0,inf,inf,True,0.9908012980999177,-0.11260657351713958,-38.783071562760234,-0.11238371815616714
120_deg_s,120.0,20.0,0.0,160.0,19.2,0.9,component,1.0,inf,inf,True,0.9867433559425867,-0.1546469417573023,-39.78883419228824,-0.14946130964359142
120_deg_s,120.0,20.0,0.0,200.0,24.0,0.9,component,1.0,inf,inf,True,0.9825320218673721,-0.18880457424813588,-39.66546372854412,-0.18439192590165523
120_deg_s,120.0,30.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
120_deg_s,120.0,30.0,0.0,20.0,2.4,0.9,component,1.0,inf,inf,True,1.0044062582148752,0.0359146042610845,-31.5247508407008,0.037111701168512506
120_deg_s,120.0,30.0,0.0,40.0,4.8,0.9,component,1.0,inf,inf,True,1.004028783460958,0.031284699425810254,-30.926187263921804,0.033199770655991556
120_deg_s,120.0,30.0,0.0,80.0,9.6,0.9,component,1.0,inf,inf,True,0.989136099493307,-0.08576365263755845,-35.636364919262874,-0.08424412586480332
120_deg_s,120.0,30.0,0.0,120.0,14.4,0.9,component,1.0,inf,inf,True,0.978565867702029,-0.17224411359733313,-37.720869359217886,-0.17213760541441628
120_deg_s,120.0,30.0,0.0,160.0,19.2,0.9,component,1.0,inf,inf,True,0.9740124501745119,-0.2052300188821959,-39.28382812390693,-0.19792204546614212
120_deg_s,120.0,30.0,0.0,200.0,24.0,0.9,component,1.0,inf,inf,True,0.9681326895157925,-0.23619991060534537,-39.07971882333501,-0.22986100263388876
120_deg_s,120.0,45.0,0.0,0.0,0.0,0.9,component,1.0,inf,inf,True,1.0,0.0,0.0,0.0
