trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,separator_sdr_db,separator_sdr_label,leakage_linear,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,tir_loss_vs_ideal_db_mean,tir_loss_vs_ideal_db_sd,tir_loss_vs_ideal_db_median,tir_retention_fraction_mean,tir_retention_fraction_sd,tir_retention_fraction_median,si_sdr_physical_improvement_db_mean,si_sdr_physical_improvement_db_sd,si_sdr_physical_improvement_db_median,si_sdr_loss_vs_ideal_db_mean,si_sdr_loss_vs_ideal_db_sd,si_sdr_loss_vs_ideal_db_median,component_si_sdr_loss_vs_ideal_db_mean,component_si_sdr_loss_vs_ideal_db_sd,component_si_sdr_loss_vs_ideal_db_median,gain_error_rms_db_mean,gain_error_rms_db_sd,gain_error_rms_db_median,gain_error_peak_abs_db_mean,gain_error_peak_abs_db_sd,gain_error_peak_abs_db_median,input_tir_db_mean,input_tir_db_sd,input_tir_db_median,output_tir_db_mean,output_tir_db_sd,output_tir_db_median,output_si_sdr_physical_target_db_mean,output_si_sdr_physical_target_db_sd,output_si_sdr_physical_target_db_median,output_si_sdr_component_target_db_mean,output_si_sdr_component_target_db_sd,output_si_sdr_component_target_db_median
30_deg_s,30.0,10.0,0.0,0.0,0.0,0.0,0,1.0,100,0.016150002898649832,2.2125521669330546,0.0863410072606063,-6.588245970102442,1.7903678855988368,-6.864058518260833,-0.7105677707534886,2.666282115569125,0.010306219725129726,-1.6187549797432066,4.331869042125871,-0.703203478470619,-4.376150163009477,2.8251990961322897,-4.8769209401476346,-6.584224845851987,1.83607501675262,-6.857183028021668,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,-0.37043280652383065,13.389892886422414,-0.09108540883034727,-1.8570772790051653,10.473539972167591,-0.43307513557389626,-0.22775853513757743,12.90825662868042,0.07602621764703468
30_deg_s,30.0,10.0,0.0,0.0,0.0,5.0,5,0.5623413251903491,100,1.7993447679891479,2.2425061437123732,2.1329856663911007,-4.805051205011943,1.3561445268560608,-5.0145890009921334,-0.27336536867241656,2.0429855808925126,0.2793807661329788,-0.30183057641801214,4.8958861536481,0.666240160409052,-3.0592257596842827,2.0143724448602094,-3.4660039572637524,-4.800238780153761,1.3847095680530332,-4.959710360196894,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,1.4127619585666673,13.382486945976414,2.0566095979770846,-0.5401528756799707,10.254678384704345,1.0017558689223764,1.5562275305606488,12.904316813272908,2.114468948522454
30_deg_s,30.0,10.0,0.0,0.0,0.0,10.0,10,0.31622776601683794,100,3.3465254379346856,2.288000335564216,3.7655578867789723,-3.2578705350664054,0.9592215776474011,-3.4229788260991385,0.1216520678136623,1.4437142960277496,0.5157867132529477,0.7748204857574793,5.356268832899964,1.980941875557758,-1.9825746975087915,1.3475636325113323,-2.221932447559583,-3.253735307847485,0.9759153792385179,-3.4037873227049773,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,2.9599426285122052,13.347827747470884,3.800462248415805,0.5364981864955207,10.07229347445693,2.1630992717017614,3.1027310028669253,12.8747814177163,3.7376603826055925
30_deg_s,30.0,10.0,0.0,0.0,0.0,20.0,20,0.1,100,5.340468052995216,2.390539673519252,5.922045354748276,-1.2639279200058753,0.398203633422682,-1.3214072532008179,0.6518464947818339,0.589855745853155,0.8121182033889347,2.0407256291541405,5.91344982009724,3.4435644914698846,-0.7166695541121304,0.5165750883286179,-0.7941197033411136,-1.2619879387716832,0.4034266863545724,-1.313784899465555,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,4.953885243572736,13.265881562476713,5.685508875838838,1.8024033298921818,9.825911227264891,3.846831181412825,5.094478371942727,12.801690660826498,5.578326252326709
30_deg_s,30.0,10.0,0.0,0.0,0.0,inf,inf,0.0,100,6.6043959730010915,2.4973590684491724,7.201558625484487,0.0,0.0,0.0,1.0,0.0,1.0,2.757395183266271,6.246282994152179,4.018431380466481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,6.217813163578611,13.194449834480627,6.931449893149216,2.519072884004312,9.655263075125077,4.62278559970615,6.356466310714411,12.736998767631855,6.914736747593624
30_deg_s,30.0,10.0,0.0,20.0,0.6,0.0,0,1.0,100,0.028143421635460526,1.813212158471595,0.14761189446082024,-6.576252551365631,1.8156511458238414,-6.752057050914508,-0.5086222608910538,1.8743705597627605,0.01987362395094362,-27.758188001133984,11.721091969832017,-27.51213274836594,-30.515583184400256,10.695731054311265,-29.258743176729567,-6.835700197268985,2.0334097652130936,-6.750300354452262,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,-0.35843938778702,12.987716203507494,-0.15512713495089783,-27.996510300395943,11.02886498251488,-26.325792932770465,-0.4792338865545749,13.358795946574554,-0.00824358249178958
30_deg_s,30.0,10.0,0.0,20.0,0.6,5.0,5,0.5623413251903491,100,1.8134042062754883,1.8592718784138038,2.151683018123067,-4.790991766725603,1.3977651658027466,-4.841334874420427,-0.07129435728121793,1.263392769981058,0.27888769386558043,-27.04659426128566,11.893882518935728,-26.65770434972859,-29.803989444551927,10.731586369399913,-28.538366720881406,-5.045145880766152,1.7336124805645305,-4.8786790779698475,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,1.426821396853008,12.981626481766424,1.9141695046141856,-27.284916560547618,10.89020290544049,-25.73521871928294,1.311320429948258,13.356322675599776,1.9491796836056472
30_deg_s,30.0,10.0,0.0,20.0,0.6,10.0,10,0.31622776601683794,100,3.362513729996003,1.9338898595384268,3.8225188905400147,-3.241882243005088,1.0476755864866352,-3.286668737794015,0.32368252768416056,0.6970288161061257,0.5087875632332417,-26.42536969141683,12.011223020658248,-26.322997032304972,-29.182764874683098,10.665432863465902,-28.27389951148588,-3.493651100241052,1.527552677911638,-3.40766549439616,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,2.9759309205735227,12.948266486101186,3.7880323217351277,-26.66369199067879,10.724766751488524,-25.08227973569678,2.862815210473358,13.331279190058597,3.7229395028671286
30_deg_s,30.0,10.0,0.0,20.0,0.6,20.0,20,0.1,100,5.358834743615677,2.093039711855966,5.82713116790154,-1.245561229385414,0.68928192636756,-1.3144810614885754,0.8535814577798517,0.3772596303914136,0.8208304511800317,-25.848301325903304,12.1551336996079,-25.94438982587741,-28.605696509169576,10.694826774170169,-28.067675987672068,-1.496651935986978,1.3929375046046033,-1.3774905221192175,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,4.9722519341931966,12.868145027019581,5.639046958028846,-26.086623625165263,10.528282122835742,-24.025011409215242,4.859814374727432,13.26813477436041,5.509743172098798
30_deg_s,30.0,10.0,0.0,20.0,0.6,inf,inf,0.0,100,6.623911551681979,2.2445803661382557,7.210482776416176,0.019515578680887512,0.6605445992360723,0.06339046040602003,1.2014130892064079,0.8681215800884922,1.0080113453922213,-25.612934853644873,12.34229002597299,-24.953024789514423,-28.370330036911145,10.8668480858629,-28.14965628652659,-0.23226877044415672,1.4284000743659642,0.04036679257623543,0.0,0.0,0.0,0.0,0.0,0.0,-0.38658280942248047,11.7770327381984,-0.3810609167676678,6.237328742259498,12.797719554278984,7.01087146472547,-25.851257152906832,10.563292075291598,-23.848676445049165,6.124197540270254,13.211808983023394,7.026094975439284
