trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,stoi_loss_threshold,minimum_separator_sdr_label,acceptable,selected_stoi_loss_vs_ideal_output_mean,selected_stoi_vs_ideal_output_mean,best_available_separator_sdr_label,best_available_stoi_loss_vs_ideal_output_mean
30_deg_s,30,30,0,0,0.0,0.050,5,true,0.029332928481153115,0.9706670715188469,5,0.029332928481153115
30_deg_s,30,30,0,20,0.6,0.050,not_met,false,0.2455530818727877,0.7544469181272123,inf,0.2455530818727877
30_deg_s,30,30,0,40,1.2,0.050,not_met,false,0.35361177915996234,0.6463882208400377,inf,0.35361177915996234
30_deg_s,30,30,0,80,2.4,0.050,not_met,false,0.4397057873805345,0.5602942126194654,inf,0.4397057873805345
30_deg_s,30,30,0,120,3.6,0.050,not_met,false,0.4973236634774357,0.5026763365225644,inf,0.4973236634774357
30_deg_s,30,30,0,160,4.8,0.050,not_met,false,0.5161295017652034,0.4838704982347965,inf,0.5161295017652034
30_deg_s,30,30,0,200,6.0,0.050,not_met,false,0.5206615450406706,0.4793384549593294,inf,0.5206615450406706
60_deg_s,60,30,0,0,0.0,0.050,5,true,0.04142868115610099,0.958571318843899,5,0.04142868115610099
60_deg_s,60,30,0,20,1.2,0.050,not_met,false,0.2661608482467349,0.7338391517532651,inf,0.2661608482467349
60_deg_s,60,30,0,40,2.4,0.050,not_met,false,0.38935980914511875,0.6106401908548812,inf,0.38935980914511875
60_deg_s,60,30,0,80,4.8,0.050,not_met,false,0.48797203765694874,0.5120279623430513,inf,0.48797203765694874
60_deg_s,60,30,0,120,7.2,0.050,not_met,false,0.5492320524335751,0.4507679475664249,inf,0.5492320524335751
60_deg_s,60,30,0,160,9.6,0.050,not_met,false,0.5724954974623708,0.42750450253762917,inf,0.5724954974623708
60_deg_s,60,30,0,200,12.0,0.050,not_met,false,0.5692680913184652,0.43073190868153477,inf,0.5692680913184652
120_deg_s,120,30,0,0,0.0,0.050,5,true,0.04449698433296638,0.9555030156670337,5,0.04449698433296638
120_deg_s,120,30,0,20,2.4,0.050,not_met,false,0.2763961052746228,0.7236038947253771,inf,0.2763961052746228
120_deg_s,120,30,0,40,4.8,0.050,not_met,false,0.40317633330095853,0.5968236666990414,inf,0.40317633330095853
120_deg_s,120,30,0,80,9.6,0.050,not_met,false,0.5098297196446508,0.4901702803553492,inf,0.5098297196446508
120_deg_s,120,30,0,120,14.4,0.050,not_met,false,0.5741313336382792,0.4258686663617208,inf,0.5741313336382792
120_deg_s,120,30,0,160,19.2,0.050,not_met,false,0.5911771319590066,0.40882286804099344,inf,0.5911771319590066
120_deg_s,120,30,0,200,24.0,0.050,not_met,false,0.5824603462982119,0.4175396537017882,inf,0.5824603462982119
